Time,Subject,Range,Bearing
1248272276,16,2.148,0.025
1248272278,16,2.033,0.024
1248272279,16,1.946,0.04
1248272281,16,1.815,0.04675
1248272282,16,1.71,0.039
1248272283,16,1.661,-0.0225
1248272284,16,1.597,-0.05
1248272285,11,2.90175,0.22924999999999998
1248272285,16,1.473,-0.2843333333333333
1248272286,11,2.8685,0.169
1248272287,11,2.8200000000000003,0.17466666666666666
1248272287,16,1.256,-0.447
1248272288,11,2.7445,0.1775
1248272289,11,2.678,0.1775
1248272290,11,2.57775,0.25025000000000003
1248272291,11,2.4709999999999996,0.33825
1248272292,11,2.372,0.417
1248272297,14,3.714,-0.1655
1248272298,14,3.738,0.035
1248272300,13,2.9156666666666666,0.057333333333333326
1248272300,12,3.864,-0.275
1248272302,13,2.848,0.10450000000000001
1248272302,12,3.8195,-0.236
1248272302,17,5.062,0.066
1248272302,6,8.21,-0.19
1248272303,13,2.8190000000000004,0.106
1248272303,12,3.795,-0.241
1248272303,17,5.053000000000001,0.06566666666666666
1248272304,13,2.7874999999999996,0.1085
1248272304,12,3.7589999999999995,-0.2372
1248272304,17,5.0092,0.07260000000000001
1248272305,13,2.732,0.109
1248272305,12,3.727,-0.2435
1248272305,8,7.1,0.042
1248272305,17,4.974,0.064
1248272305,6,8.13,-0.186
1248272306,13,2.7103333333333333,0.10766666666666667
1248272306,12,3.6786666666666665,-0.24233333333333332
1248272306,8,7.1,0.04
1248272306,17,4.950333333333333,0.07
1248272306,6,8.13,-0.189
1248272307,13,2.625,0.111
1248272307,12,3.6270000000000002,-0.249
1248272307,17,4.871666666666667,0.07033333333333334
1248272307,6,8.13,-0.1925
1248272308,17,4.805,0.077
1248272310,17,4.655,-0.104
1248272313,14,3.033,0.187
1248272314,14,3.005,0.161
1248272315,14,2.9865,0.099
1248272316,14,2.9203333333333332,-0.04066666666666666
1248272317,14,2.8203333333333327,-0.16866666666666666
1248272318,14,2.714,-0.168
1248272319,14,2.69075,-0.16975
1248272323,10,6.034,-0.143
1248272323,14,2.513,0.054
1248272325,14,2.3659999999999997,0.0915
1248272326,10,5.908,-0.127
1248272327,10,5.827333333333333,-0.11733333333333333
1248272327,14,2.2535,0.107
1248272328,10,5.787,-0.085
1248272328,14,2.2125,0.14500000000000002
1248272329,14,2.128,0.182
1248272330,10,5.671,-0.052
1248272330,14,2.097,0.177
1248272331,14,1.979,0.20950000000000002
1248272332,10,5.559,-0.046
1248272332,14,1.932,0.204
1248272333,10,5.452,-0.034
1248272333,14,1.8445,0.22299999999999998
1248272334,10,5.431,-0.039
1248272334,14,1.7583333333333335,0.22799999999999998
1248272336,10,5.25,-0.0335
1248272336,14,1.6135,0.262
1248272337,14,1.556,0.273
1248272338,10,5.154,-0.0125
1248272338,14,1.44,0.312
1248272339,10,5.062,-0.02
1248272339,14,1.3975,0.3255
1248272340,10,4.978,-0.0155
1248272340,14,1.3195000000000001,0.3325
1248272341,10,4.927,0.002
1248272341,14,1.266,0.341
1248272342,10,4.888,-0.006
1248272342,14,1.211,0.359
1248272343,10,4.7965,0.0007499999999999996
1248272343,14,1.144,0.397
1248272344,10,4.778666666666666,0.010666666666666666
1248272344,14,1.058,0.423
1248272345,10,4.649,0.012
1248272347,10,4.506333333333333,0.021
1248272348,10,4.432,0.03
1248272349,10,4.305,0.038
1248272350,10,4.242,0.03949999999999999
1248272352,9,2.971,-0.253
1248272353,10,3.998,0.266
1248272353,9,2.914,-0.2564
1248272354,10,3.89,0.278
1248272354,9,2.836,-0.263
1248272355,10,3.864,0.277
1248272355,9,2.7984999999999998,-0.267
1248272356,9,2.722,-0.272
1248272357,10,3.787,0.212
1248272358,10,3.721,0.0915
1248272359,10,3.685,0.09633333333333334
1248272360,10,3.63,0.099
1248272361,10,3.523,0.11474999999999999
1248272362,10,3.491,0.115
1248272363,10,3.394,0.13433333333333333
1248272364,10,3.348,0.146
1248272365,10,3.242,0.1545
1248272366,10,3.156,0.152
1248272367,10,3.0425,0.16749999999999998
1248272368,10,2.987666666666667,0.18333333333333335
1248272369,10,2.9239999999999995,0.18933333333333335
1248272370,10,2.855,0.20550000000000002
1248272371,10,2.76,0.215
1248272372,10,2.692,0.2255
1248272373,10,2.626,0.232
1248272374,10,2.577666666666667,0.23666666666666666
1248272375,10,2.49,0.2415
1248272376,10,2.4255,0.2465
1248272378,10,2.3115,0.25825
1248272379,10,2.2439999999999998,0.263
1248272380,10,2.1870000000000003,0.271
1248272381,10,2.079,0.289
1248272382,10,2.057,0.285
1248272383,10,1.9605000000000001,0.3005
1248272384,10,1.922,0.225
1248272385,10,1.9237499999999998,0.13399999999999998
1248272386,10,1.88325,-0.02525
1248272387,10,1.7830000000000001,-0.19699999999999998
1248272388,10,1.6760000000000002,-0.3095
1248272389,10,1.633,-0.323
1248272390,10,1.5390000000000001,-0.35650000000000004
1248272427,14,2.0963333333333334,0.2836666666666667
1248272428,13,3.644,0.192
1248272428,15,6.034,0.058
1248272428,14,2.1225,-0.03425
1248272429,13,3.6363333333333334,-0.09400000000000001
1248272429,15,6.034,-0.136
1248272429,12,4.574,0.1345
1248272429,17,3.0709999999999997,0.44399999999999995
1248272429,14,1.9055,-0.41725
1248272430,13,3.4290000000000003,-0.33399999999999996
1248272430,15,5.2059999999999995,-0.54
1248272430,12,4.523333333333333,-0.016
1248272430,17,3.19225,0.313
1248272431,13,3.34,-0.351
1248272431,15,5.131,-0.5625
1248272431,12,4.457,-0.0245
1248272431,17,3.1355000000000004,0.3005
1248272432,13,3.286,-0.369
1248272432,15,5.032,-0.571
1248272432,12,4.371333333333333,-0.03266666666666667
1248272432,17,3.06925,0.30724999999999997
1248272433,13,3.1915,-0.37
1248272433,15,4.945,-0.5734999999999999
1248272433,12,4.3245000000000005,-0.032
1248272433,17,2.9955,0.3085
1248272434,13,3.098,-0.379
1248272434,15,4.888,-0.571
1248272434,12,4.245333333333333,-0.02666666666666667
1248272434,17,2.9269999999999996,0.323
1248272435,13,3.0199999999999996,-0.3993333333333333
1248272435,12,4.14825,-0.0345
1248272435,17,2.86175,0.3215
1248272436,13,2.9349999999999996,-0.4275
1248272436,12,4.0685,-0.057
1248272436,17,2.8143333333333334,0.3006666666666667
1248272437,13,2.9415,-0.4105
1248272437,15,4.805,-0.566
1248272437,12,4.036333333333334,-0.018333333333333333
1248272437,17,2.6832499999999997,0.36700000000000005
1248272438,13,2.8456666666666663,-0.405
1248272438,15,4.713,-0.573
1248272438,12,3.9415,-0.0235
1248272438,17,2.634,0.35850000000000004
1248272439,13,2.6755,-0.514
1248272439,12,3.838,-0.061
1248272439,17,2.6045,0.316
1248272440,13,2.6689999999999996,-0.4795
1248272440,12,3.8009999999999997,-0.08066666666666666
1248272440,17,2.5575,0.3255
1248272441,12,3.6953333333333336,-0.134
1248272441,17,2.5075000000000003,0.257
1248272442,12,3.619,-0.164
1248272442,17,2.458,0.263
1248272443,17,2.406,0.26875000000000004
1248272444,17,2.3272500000000003,0.27875
1248272445,12,3.425,-0.177
1248272445,17,2.2746666666666666,0.2823333333333333
1248272446,12,3.391,-0.176
1248272446,17,2.2256666666666667,0.28833333333333333
1248272447,12,3.3605,-0.176
1248272447,17,2.212333333333333,0.291
1248272448,12,3.3265000000000002,-0.178
1248272448,17,2.17425,0.29374999999999996
1248272449,12,3.2396666666666665,-0.18633333333333332
1248272449,17,2.0975,0.301
1248272450,12,3.2083333333333335,-0.14666666666666664
1248272450,17,2.011333333333333,0.349
1248272451,12,3.1476666666666664,-0.115
1248272451,17,1.91325,0.3955
1248272452,12,3.103,-0.119
1248272452,17,1.8595000000000002,0.404
1248272453,12,3.062,-0.123
1248272453,17,1.7973333333333332,0.41533333333333333
1248272454,12,2.9845,-0.1215
1248272454,17,1.7192500000000002,0.4375
1248272455,12,2.879,-0.10466666666666667
1248272455,17,1.64275,0.46125000000000005
1248272456,12,2.8,-0.0945
1248272458,12,2.668,-0.097
1248272459,12,2.532,-0.215
1248272459,17,1.38,0.476
1248272460,12,2.475,-0.291
1248272460,17,1.45625,0.2825
1248272461,8,2.941,0.432
1248272461,17,1.455,-0.06933333333333334
1248272461,6,4.985,0.174
1248272462,7,5.0105,0.099
1248272462,8,3.10325,0.226
1248272462,17,1.3017500000000002,-0.39149999999999996
1248272462,9,1.362,0.466
1248272462,6,4.95675,-0.04525
1248272463,7,4.9943333333333335,-0.015666666666666666
1248272463,8,3.1063333333333336,0.106
1248272463,17,1.1775,-0.5425
1248272463,9,1.3615,0.434
1248272463,6,4.8584000000000005,-0.16960000000000003
1248272464,7,4.931,-0.018
1248272464,8,3.003,0.117
1248272464,9,1.2760000000000002,0.45620000000000005
1248272464,6,4.7635000000000005,-0.1695
1248272465,7,4.829,-0.014
1248272465,8,2.959666666666667,0.121
1248272465,9,1.212,0.469
1248272465,6,4.710333333333334,-0.17366666666666664
1248272466,7,4.765499999999999,-0.00975
1248272466,8,2.8890000000000002,0.12525
1248272466,9,1.1755,0.4755
1248272466,6,4.64575,-0.16874999999999998
1248272467,7,4.705,0.11249999999999999
1248272467,8,2.7735000000000003,0.25025
1248272467,6,4.66725,-0.0435
1248272468,7,4.526666666666666,0.25733333333333336
1248272468,8,2.59525,0.395
1248272469,7,4.487,0.309
1248272469,8,2.499,0.454
1248272469,6,4.493,0.2385
1248272470,6,4.337,0.312
1248272471,6,4.119,0.408
1248272473,12,1.9896,-0.5022
1248272474,12,2.164,-0.22575
1248272475,15,3.998,-0.539
1248272475,12,2.1965000000000003,0.02775
1248272476,13,1.793,-0.5456666666666666
1248272476,15,4.2875000000000005,-0.37375
1248272476,12,2.114,0.21625
1248272477,13,1.764,-0.5506666666666667
1248272477,15,4.273333333333333,-0.35666666666666663
1248272477,12,2.0645,0.24175
1248272478,13,1.7135,-0.56
1248272478,15,4.24775,-0.36475
1248272478,12,2.02175,0.24325
1248272479,13,1.6806666666666665,-0.5653333333333334
1248272479,15,4.2044999999999995,-0.369
1248272479,12,1.9949999999999999,0.245
1248272480,13,1.647,-0.5712499999999999
1248272480,15,4.1335,-0.37224999999999997
1248272480,12,1.93975,0.254
1248272481,13,1.627,-0.5736666666666667
1248272481,15,4.117,-0.36999999999999994
1248272481,12,1.912,0.2605
1248272482,15,4.0584999999999996,-0.37
1248272482,12,1.8695,0.2685
1248272483,15,4.048666666666667,-0.37166666666666665
1248272483,12,1.8375,0.27325
1248272484,13,1.567,-0.5
1248272484,15,4.027,-0.327
1248272484,12,1.72925,0.34475
1248272485,13,1.722,-0.149
1248272485,15,4.235,0.004
1248272485,16,3.738,-0.513
1248272486,13,1.701,0.09175
1248272486,15,3.9255000000000004,0.35150000000000003
1248272486,11,5.349,-0.296
1248272486,20,5.908,0.116
1248272486,16,4.183,-0.024
1248272487,13,1.5675,0.30675
1248272487,11,5.349,-0.22366666666666665
1248272487,20,5.787,0.1945
1248272487,16,4.142,0.048666666666666664
1248272488,13,1.5010000000000001,0.3455
1248272488,11,5.322,-0.17400000000000002
1248272488,16,4.079,0.103
1248272489,13,1.4125,0.38649999999999995
1248272489,11,5.25,-0.163
1248272489,20,5.588666666666668,0.25333333333333335
1248272489,16,3.9899999999999998,0.11499999999999999
1248272490,13,1.3559999999999999,0.40349999999999997
1248272490,11,5.194,-0.16949999999999998
1248272490,20,5.5385,0.248
1248272490,16,3.9200000000000004,0.11225
1248272491,13,1.279,0.4175
1248272491,11,5.118666666666667,-0.17200000000000001
1248272491,20,5.505,0.252
1248272491,16,3.8485,0.1145
1248272492,13,1.2355,0.37424999999999997
1248272492,15,3.554,0.403
1248272492,11,5.0495,-0.1925
1248272492,20,5.452,0.249
1248272492,16,3.7693333333333334,-0.046000000000000006
1248272493,13,1.25,0.061
1248272493,15,3.6616666666666666,0.2786666666666667
1248272493,20,5.5055,-0.0905
1248272493,16,3.468,-0.376
1248272494,13,1.194,-0.093
1248272494,15,3.731,0.08650000000000001
1248272494,20,5.25,-0.288
1248272495,13,1.119,-0.066
1248272495,15,3.638,0.14133333333333334
1248272495,20,5.062,-0.383
1248272496,13,1.088,0.0625
1248272496,15,3.3680000000000003,0.36450000000000005
1248272496,20,5.349,-0.056
1248272497,15,3.171,0.46799999999999997
1248272497,20,5.25,0.043
1248272497,16,3.437,-0.121
1248272498,15,3.1025,0.473
1248272498,11,4.432,-0.433
1248272498,18,6.758,-0.103
1248272498,20,5.2139999999999995,0.042
1248272498,16,3.3975,-0.1235
1248272499,20,5.145,0.042499999999999996
1248272499,16,3.3255,-0.128
1248272500,20,5.062,0.044
1248272500,16,3.272,-0.13
1248272501,20,4.974,0.047
1248272502,20,4.6875,0.312
1248272502,16,3.154,0.031
1248272503,16,2.971,0.335
1248272504,11,4.5045,0.118
1248272504,16,2.8609999999999998,0.4085
1248272505,11,4.475,0.1205
1248272505,18,5.787,0.457
1248272505,16,2.8049999999999997,0.433
1248272506,11,4.432,0.132
1248272506,16,2.7612499999999995,0.442
1248272507,16,2.7270000000000003,0.445
1248272508,16,2.6940000000000004,0.44825000000000004
1248272509,11,4.364,0.115
1248272509,16,2.6595,0.4545
1248272510,11,4.2996,0.1256
1248272510,16,2.6189999999999998,0.45975
1248272511,11,4.251666666666666,0.132
1248272511,16,2.5705,0.4665
1248272512,11,4.2235,0.136
1248272513,11,4.149333333333333,0.17
1248272516,14,1.2665000000000002,0.186
1248272519,9,2.769,-0.098
1248272520,10,4.036,0.1975
1248272520,9,2.6959999999999997,-0.1945
1248272521,10,4.055,0.0665
1248272522,10,4.00525,0.14275000000000002
1248272523,10,3.9165,0.1945
1248272524,10,3.89,0.217
1248272524,9,2.4805,-0.29400000000000004
1248272525,10,3.7765,0.27049999999999996
1248272525,9,2.5035,-0.20750000000000002
1248272526,9,2.442,-0.274
1248272527,9,2.456666666666667,-0.11533333333333333
1248272528,8,3.643,-0.363
1248272528,9,2.423,-0.04366666666666666
1248272529,7,4.805,-0.57
1248272529,8,3.598,-0.383
1248272529,9,2.377333333333333,-0.050333333333333334
1248272530,8,3.554,-0.363
1248272530,9,2.3223333333333334,-0.0033333333333333327
1248272531,7,4.974,-0.46
1248272531,8,3.559,-0.294
1248272531,9,2.2505,0.046
1248272532,8,3.5455,-0.266
1248272532,9,2.1953333333333336,0.077
1248272533,7,4.888,-0.44733333333333336
1248272533,8,3.478333333333333,-0.27466666666666667
1248272533,9,2.115,0.08266666666666667
1248272534,7,4.888,-0.429
1248272534,8,3.41875,-0.25675000000000003
1248272534,9,2.0416,0.1036
1248272535,7,4.805,-0.416
1248272535,8,3.3623333333333334,-0.236
1248272535,9,1.9546666666666666,0.137
1248272535,6,4.342,-0.569
1248272536,7,4.832666666666666,-0.38833333333333336
1248272536,8,3.3053333333333335,-0.21766666666666667
1248272536,9,1.8790000000000002,0.15966666666666665
1248272536,6,4.4670000000000005,-0.519
1248272537,7,4.7795,-0.3805
1248272537,8,3.2645,-0.20850000000000002
1248272537,9,1.8185,0.1845
1248272537,6,4.342,-0.542
1248272538,7,4.726,-0.3645
1248272538,8,3.228,-0.186
1248272538,9,1.7393333333333334,0.20566666666666666
1248272539,7,4.687,-0.321
1248272539,8,3.154,-0.157
1248272539,9,1.635,0.263
1248272540,7,4.726,-0.3
1248272540,8,3.089,-0.1265
1248272540,9,1.5553333333333335,0.30033333333333334
1248272541,7,4.668333333333333,-0.2856666666666667
1248272541,9,1.46875,0.35425
1248272542,7,4.773,0.1215
1248272542,8,2.92,0.24733333333333332
1248272542,6,4.687,-0.152
1248272543,7,4.6875,0.191
1248272543,8,2.757,0.38175
1248272543,6,4.687,0.058
1248272544,7,4.574,0.27149999999999996
1248272544,8,2.66,0.4323333333333333
1248272544,6,4.575,0.11549999999999999
1248272545,7,4.398,0.371
1248272545,6,4.432,0.216
1248272546,7,4.203,0.449
1248272546,6,4.321,0.2975
1248272547,6,4.298,0.301
1248272548,12,1.7610000000000001,-0.4635
1248272549,12,1.842,-0.27525
1248272550,12,1.8367499999999999,-0.1325
1248272551,12,1.77275,-0.12625
1248272552,12,1.72275,-0.1285
1248272553,12,1.676,-0.13725
1248272554,12,1.623,-0.14250000000000002
1248272555,12,1.5806666666666667,-0.06833333333333334
1248272556,15,3.943,-0.275
1248272556,12,1.49075,0.24800000000000003
1248272557,13,1.5725,-0.3235
1248272557,15,4.027,-0.04700000000000001
1248272557,12,1.352,0.471
1248272558,13,1.58,-0.20800000000000002
1248272558,15,3.95725,0.17175
1248272559,13,1.5117500000000001,-0.196
1248272559,15,3.8622,0.192
1248272559,20,5.671,-0.16649999999999998
1248272559,16,3.864,-0.331
1248272560,13,1.417,-0.211
1248272560,15,3.793333333333333,0.19299999999999998
1248272560,20,5.615,-0.16999999999999998
1248272560,16,3.785,-0.34733333333333327
1248272561,13,1.346,-0.245
1248272561,15,3.73,0.188
1248272561,16,3.738,-0.369
1248272562,13,1.2466666666666666,-0.3633333333333333
1248272562,15,3.714,0.059
1248272563,15,3.64075,-0.09874999999999999
1248272564,15,3.5897499999999996,-0.10475
1248272565,15,3.5193333333333334,-0.11133333333333334
1248272565,20,4.805,-0.516
1248272566,15,3.4346666666666668,-0.109
1248272566,20,4.726,-0.522
1248272567,15,3.373,-0.114
1248272567,20,4.700333333333333,-0.5263333333333334
1248272568,15,3.1844,-0.2938
1248272569,15,2.9437499999999996,-0.46875
1248272570,15,2.9467499999999998,-0.4295
1248272571,15,3.05475,-0.27225
1248272572,15,3.0175,-0.25425
1248272573,15,2.977,-0.2572
1248272574,15,2.9495,-0.25525
1248272575,15,2.9095,-0.2605
1248272576,15,2.8850000000000002,-0.26275000000000004
1248272577,15,2.855,-0.266
1248272578,19,5.559,-0.571
1248272578,15,2.838,-0.269
1248272579,15,2.8087500000000003,-0.2695
1248272580,15,2.78775,-0.27175000000000005
1248272581,15,2.766,-0.271
1248272582,19,5.452,-0.573
1248272582,15,2.7363999999999997,-0.2742
1248272583,15,2.7125000000000004,-0.274
1248272584,15,2.7329999999999997,-0.12575
1248272584,20,4.364,-0.466
1248272585,15,2.706,-0.02125
1248272586,19,5.908,-0.306
1248272586,15,2.634,-0.019
1248272586,20,4.235,-0.46
1248272587,15,2.55725,-0.022
1248272587,20,4.133,-0.473
1248272588,15,2.4989999999999997,0.03375
1248272588,20,4.298,-0.397
1248272589,15,2.4684999999999997,0.0545
1248272590,19,5.908,-0.143
1248272590,15,2.3377499999999998,0.1865
1248272591,19,5.908,0.108
