Time,Subject,Range,Bearing
1248272276,13,2.717,-0.158
1248272277,13,2.619,-0.161
1248272277,9,4.8455,0.4015
1248272278,13,2.566,-0.17
1248272278,9,4.784249999999999,0.40875
1248272278,6,8.293,0.065
1248272279,13,2.5055,-0.0905
1248272279,17,4.422,0.24
1248272279,9,4.492,0.5005
1248272279,6,8.293,0.149
1248272280,13,2.447,-0.079
1248272280,8,6.009,0.432
1248272280,9,4.492,0.497
1248272281,13,2.393,0.005
1248272281,12,3.9405,-0.083
1248272281,8,6.074,0.437
1248272281,17,4.1875,0.3355
1248272282,13,2.3454,0.0224
1248272282,12,3.935,-0.0638
1248272282,8,6.009,0.437
1248272282,17,4.133,0.35500000000000004
1248272282,6,7.834,0.241
1248272283,13,2.266,0.09666666666666668
1248272283,12,3.865,0.009666666666666665
1248272283,7,7.5235,0.4165
1248272283,17,3.925333333333333,0.4326666666666667
1248272283,6,7.646000000000001,0.3313333333333333
1248272284,13,2.183333333333333,0.14433333333333334
1248272284,12,3.779,0.0535
1248272284,7,7.234,0.507
1248272284,17,3.729,0.509
1248272284,6,7.329000000000001,0.415
1248272285,13,2.1195,0.192
1248272285,12,3.759,0.097
1248272285,7,7.203666666666666,0.5106666666666667
1248272285,6,7.309666666666666,0.41966666666666663
1248272286,13,2.062,0.216
1248272286,6,7.143,0.459
1248272287,13,1.9020000000000001,0.3095
1248272287,12,3.551,0.2
1248272288,13,1.804,0.3965
1248272289,13,1.643,0.5
1248272289,12,3.314,0.302
1248272290,13,1.5967500000000001,0.5045
1248272291,13,1.564,0.511
1248272291,12,2.958,0.4803333333333333
1248272292,15,2.218,-0.559
1248272292,12,2.9066666666666663,0.49099999999999994
1248272293,15,2.205,-0.544
1248272294,15,2.2114,-0.49479999999999996
1248272295,15,2.19325,-0.45925
1248272296,15,2.1943333333333332,-0.40166666666666667
1248272297,15,2.1454999999999997,-0.37899999999999995
1248272298,15,2.1225,-0.33675
1248272299,15,2.11575,-0.26175000000000004
1248272300,15,2.0603333333333333,-0.24
1248272301,15,2.02875,-0.186
1248272302,15,1.988,-0.1495
1248272303,15,1.9640000000000002,-0.10533333333333333
1248272304,15,1.8955,-0.07575000000000001
1248272305,15,1.84775,-0.022500000000000003
1248272306,15,1.793,0.012249999999999999
1248272307,15,1.7328,0.0354
1248272308,15,1.6816666666666666,-0.11299999999999999
1248272309,15,1.6163333333333334,-0.2603333333333333
1248272310,15,1.568,-0.31375000000000003
1248272311,15,1.5607499999999999,-0.31
1248272312,15,1.531,-0.31825000000000003
1248272313,15,1.5005,-0.3205
1248272314,15,1.5342500000000001,-0.105
1248272315,15,1.484,0.3135
1248272316,15,1.48075,0.33075
1248272317,15,1.52825,0.16749999999999998
1248272318,15,1.4514999999999998,-0.3165
1248272319,15,1.281,-0.558
1248272320,12,2.3920000000000003,0.48
1248272321,17,3.307,0.504
1248272321,6,6.8015,0.33499999999999996
1248272322,13,1.3719999999999999,0.33075
1248272322,12,2.4010000000000002,-0.329
1248272322,17,3.6630000000000003,0.13200000000000003
1248272322,6,6.883,-0.295
1248272323,13,1.353,-0.202
1248272323,17,3.454,-0.29325
1248272325,10,5.9775,-0.19
1248272326,10,5.884,-0.20766666666666667
1248272327,10,5.884,-0.231
1248272328,10,5.715,-0.312
1248272329,10,5.765,-0.305
1248272330,10,5.65,-0.309
1248272335,14,2.165,0.383
1248272336,8,4.961,-0.482
1248272339,10,5.504666666666666,0.19766666666666666
1248272340,14,1.847,0.432
1248272341,10,5.236,-0.23249999999999998
1248272341,14,1.89,0.371
1248272342,10,5.0945,-0.3275
1248272343,10,5.04925,-0.32225000000000004
1248272343,14,1.812,0.257
1248272344,10,4.953,-0.3285
1248272345,10,4.918,-0.331
1248272345,14,1.704,0.2675
1248272346,10,4.835,-0.34199999999999997
1248272346,14,1.617,0.275
1248272350,11,3.226,0.485
1248272351,11,3.478,0.22974999999999998
1248272351,16,1.965,0.419
1248272352,11,3.547,-0.114
1248272352,16,2.066666666666667,0.18800000000000003
1248272353,16,2.0433333333333334,-0.125
1248272354,19,5.584,-0.09666666666666668
1248272354,18,5.109666666666667,-0.4223333333333333
1248272354,20,3.8040000000000003,-0.187
1248272354,16,1.8385,-0.3875
1248272355,19,5.54,-0.084
1248272355,20,3.779,-0.175
1248272355,16,1.7999999999999998,-0.383
1248272356,19,5.487,-0.10250000000000001
1248272356,20,3.624,-0.192
1248272356,16,1.693,-0.411
1248272357,16,1.6265,-0.4375
