# Time [s],forward velocity [m/s],angular velocity[rad/s]
1248272273,0.074,0.229
1248272273,0.074,0.229
1248272273,0.074,0.229
1248272273,0.074,0.229
1248272273,0.074,0.229
1248272273,0.074,0.23
1248272273,0.074,0.23
1248272273,0.074,0.229
1248272273,0.074,0.229
1248272273,0.074,0.229
1248272273,0.074,0.229
1248272273,0.074,0.227
1248272273,0.074,0.224
1248272273,0.074,0.224
1248272273,0.074,0.22
1248272273,0.074,0.216
1248272273,0.073,0.214
1248272273,0.073,0.214
1248272273,0.073,0.212
1248272274,0.073,0.211
1248272274,0.073,0.211
1248272274,0.073,0.209
1248272274,0.073,0.209
1248272274,0.073,0.207
1248272274,0.073,0.207
1248272274,0.073,0.207
1248272274,0.073,0.207
1248272274,0.073,0.207
1248272274,0.073,0.205
1248272274,0.067,0
1248272274,0.067,0
1248272274,0.067,0
1248272274,0.067,0
1248272274,0.067,0
1248272274,0.067,0
1248272274,0,0
1248272274,0,0
1248272274,0.067,0
1248272274,0.067,0
1248272274,0.067,0
1248272274,0.067,0
1248272274,0.067,0
1248272274,0.067,0
1248272274,0.067,0
1248272274,0.067,0
1248272274,0.067,0
1248272274,0.067,0
1248272274,0.067,0
1248272274,0.067,0
1248272274,0.067,0
1248272275,0.067,0
1248272275,0.067,0
1248272275,0.067,0
1248272275,0.067,0
1248272275,0.067,0
1248272275,0.067,0
1248272275,0.067,0
1248272275,0.067,0
1248272275,0.067,0
1248272275,0.067,0
1248272275,0.067,0
1248272275,0.067,0
1248272275,0.067,0
1248272275,0.067,0
1248272275,0.067,0
1248272275,0.067,0
1248272275,0,0
1248272275,0.067,0
1248272275,0.067,0
1248272275,0.067,0
1248272275,0.067,0
1248272275,0.067,0
1248272275,0.067,0
1248272275,0.067,0
1248272275,0.067,0
1248272275,0.067,0
1248272275,0.067,0
1248272275,0.067,0
1248272275,0.067,0
1248272275,0.067,0
1248272275,0.067,0
1248272275,0.067,0
1248272275,0.067,0
1248272276,0.067,0
1248272276,0.067,0
1248272276,0.067,0
1248272276,0.067,0
1248272276,0.067,0
1248272276,0.067,0
1248272276,0.067,0
1248272276,0.067,0
1248272276,0.067,0
1248272276,0.067,0
1248272276,0.067,0
1248272276,0.067,0
1248272276,0.067,0
1248272276,0.067,0
1248272276,0.067,0
1248272276,0.067,0
1248272276,0.067,0
1248272276,0,0
1248272276,0.067,0
1248272276,0.067,0
1248272276,0.067,0
1248272276,0.067,0
1248272276,0.067,0
1248272276,0.067,0
1248272276,0.067,0
