Time,X,Y,Orientation
1248272263,4.3827983,2.4628447,-2.3488
1248272263,4.382741,2.4628239,-2.3488
1248272263,4.3828035,2.4627875,-2.3487
1248272263,4.3828025,2.4627932,-2.3487
1248272263,4.3827936,2.4627976,-2.3488
1248272263,4.3828051,2.4627824,-2.3488
1248272263,4.3827202,2.4627837,-2.3488
1248272263,4.3827144,2.4627576,-2.3488
1248272264,4.3827963,2.4628415,-2.3489
1248272264,4.3827869,2.4628408,-2.3488
1248272264,4.382795,2.4628476,-2.3488
1248272264,4.3828016,2.4628574,-2.3487
1248272264,4.3827116,2.462768,-2.3487
1248272264,4.3826879,2.4627759,-2.3488
1248272264,4.3827763,2.4627777,-2.3489
1248272264,4.3827261,2.4627806,-2.3489
1248272264,4.3828229,2.4628445,-2.3488
1248272264,4.3827951,2.4628363,-2.3488
1248272264,4.3827345,2.4628589,-2.3488
1248272264,4.3827698,2.4628564,-2.3488
1248272264,4.3827083,2.4628237,-2.3489
1248272264,4.3827461,2.4628357,-2.3489
1248272264,4.3827406,2.4627927,-2.3489
1248272264,4.3827216,2.4627993,-2.3489
1248272264,4.3828176,2.4628005,-2.3488
1248272264,4.3828423,2.462784,-2.3488
1248272264,4.3828424,2.4627697,-2.3488
1248272264,4.3827694,2.4628491,-2.3489
1248272264,4.3828353,2.4628558,-2.3489
1248272264,4.3827222,2.4628596,-2.3487
1248272264,4.3827491,2.4628428,-2.3487
1248272264,4.3827442,2.4627828,-2.3488
1248272264,4.3826935,2.4627765,-2.3488
1248272264,4.3828345,2.4628116,-2.3488
1248272264,4.3827822,2.4628076,-2.3488
1248272264,4.3828068,2.4628094,-2.3488
1248272264,4.3828232,2.4628101,-2.3488
1248272264,4.3826824,2.4628447,-2.3489
1248272264,4.3827666,2.4628697,-2.3489
1248272264,4.3827174,2.462868,-2.3489
1248272264,4.3827196,2.4628804,-2.3488
1248272264,4.3827343,2.462819,-2.3486
1248272264,4.3826572,2.4628125,-2.3486
1248272264,4.3828207,2.4627723,-2.3489
1248272264,4.3827963,2.4627978,-2.349
1248272264,4.3827947,2.4628462,-2.3489
1248272264,4.3828449,2.462852,-2.3488
1248272265,4.382668,2.4628554,-2.3486
1248272265,4.3827523,2.4628531,-2.3487
1248272265,4.3827148,2.4628369,-2.3487
1248272265,4.3827172,2.4628437,-2.3488
1248272265,4.3827963,2.4628415,-2.3489
1248272265,4.3827372,2.462829,-2.3489
1248272265,4.3828473,2.4627899,-2.3489
1248272265,4.382829,2.4627879,-2.3489
1248272265,4.3827847,2.4628206,-2.3488
1248272265,4.3828315,2.4628266,-2.3488
1248272265,4.3827042,2.4628409,-2.3488
1248272265,4.3827461,2.4628454,-2.3488
1248272265,4.3827222,2.4628551,-2.3489
1248272265,4.3827048,2.4628539,-2.3489
1248272265,4.3827903,2.4628154,-2.3488
1248272265,4.3827234,2.462823,-2.3488
1248272265,4.3828049,2.4628356,-2.3488
1248272265,4.3827994,2.4628654,-2.3488
1248272265,4.3827598,2.4628995,-2.3487
1248272265,4.3827897,2.4628923,-2.3487
1248272265,4.3827054,2.462825,-2.3488
1248272265,4.3827561,2.4628113,-2.3489
1248272265,4.3827514,2.4628263,-2.3488
1248272265,4.3827454,2.4628383,-2.3488
1248272265,4.3827561,2.4628376,-2.3487
1248272265,4.3827314,2.462834,-2.3487
1248272265,4.3827832,2.4628249,-2.3488
1248272265,4.3828004,2.4628416,-2.3489
1248272265,4.3827996,2.4628493,-2.3489
1248272265,4.3827959,2.4628427,-2.3488
1248272265,4.3827486,2.4627755,-2.3487
1248272265,4.3827733,2.4627754,-2.3487
1248272265,4.3827937,2.4628023,-2.3488
1248272265,4.3827909,2.4627893,-2.3488
1248272265,4.3828144,2.4628084,-2.3488
1248272265,4.3827821,2.4627895,-2.3488
1248272265,4.3827693,2.46281,-2.3487
1248272265,4.3827738,2.4628142,-2.3487
1248272265,4.3827697,2.462847,-2.3488
1248272265,4.3827692,2.4628452,-2.3488
1248272266,4.3827295,2.4628279,-2.3488
1248272266,4.3827119,2.4628213,-2.3488
1248272266,4.3827759,2.462827,-2.3488
1248272266,4.3827413,2.462837,-2.3488
1248272266,4.382759,2.4628687,-2.3487
1248272266,4.3827474,2.4628576,-2.3486
