Time,Subject,Range,Bearing
1248272277,18,6.877,-0.137
1248272277,63,6.712,0.207
1248272277,18,6.712,-0.217
1248272277,25,1.471,0.272
1248272278,14,5.028,-0.305
1248272278,9,2.706,-0.192
1248272278,90,5.214,-0.058
1248272278,63,6.712,0.134
1248272278,25,1.448,0.271
1248272278,14,5.028,-0.3
1248272278,9,2.691,-0.188
1248272278,90,5.312,-0.048
1248272278,23,4.401,0.079
1248272278,25,1.421,0.289
1248272278,16,4.269,0.34
1248272278,14,4.939,-0.302
1248272278,18,6.712,-0.214
1248272278,9,2.664,-0.189
1248272278,90,5.214,-0.055
1248272278,23,4.342,0.08
1248272278,63,6.612,0.139
1248272278,7,8.074,0.258
1248272278,25,1.411,0.295
1248272278,14,4.939,-0.302
1248272278,9,2.653,-0.191
1248272278,90,5.214,-0.055
1248272278,23,4.334,0.085
1248272278,63,6.632,0.14
1248272278,25,1.392,0.297
1248272279,14,4.854,-0.303
1248272279,18,6.554,-0.217
1248272279,9,2.625,-0.191
1248272279,90,5.214,-0.053
1248272279,23,4.334,0.088
1248272279,63,6.585,0.14
1248272279,25,1.374,0.303
1248272279,14,4.939,-0.301
1248272279,9,2.619,-0.193
1248272279,90,5.132,-0.052
1248272279,23,4.269,0.095
1248272279,25,1.353,0.308
1248272279,14,4.834,-0.307
1248272279,9,2.595,-0.196
1248272279,90,5.128,-0.055
1248272279,23,4.269,0.098
1248272279,63,6.554,0.146
1248272279,25,1.333,0.311
1248272280,14,4.772,-0.309
1248272280,18,6.554,-0.221
1248272280,9,2.561,-0.199
1248272280,90,5.119,-0.057
1248272280,45,8.316,0.07
1248272280,23,4.269,0.098
1248272280,25,1.314,0.315
1248272280,14,4.746,-0.309
1248272280,9,2.562,-0.201
1248272280,90,5.19,-0.059
1248272280,45,8.573,0.064
1248272280,23,4.319,0.098
1248272280,5,5.312,0.28
1248272280,25,1.307,0.315
1248272280,25,1.289,0.32
1248272280,9,2.523,-0.205
1248272280,90,5.119,-0.068
1248272280,23,4.269,0.105
1248272280,25,1.277,0.32
1248272280,9,2.523,-0.205
1248272280,90,5.119,-0.068
1248272280,23,4.269,0.105
1248272280,25,1.277,0.32
1248272281,9,2.523,-0.205
1248272281,90,5.119,-0.068
1248272281,23,4.269,0.105
1248272281,25,1.277,0.32
1248272281,14,4.617,-0.315
1248272281,9,2.493,-0.205
1248272281,90,5.119,-0.058
1248272281,23,4.269,0.108
1248272281,14,4.617,-0.31
1248272281,9,2.474,-0.203
1248272281,90,5.119,-0.056
1248272281,23,4.243,0.11
1248272281,25,1.227,0.337
1248272281,14,4.553,-0.316
1248272281,9,2.467,-0.209
1248272281,90,5.04,-0.06
1248272281,23,4.261,0.108
1248272281,63,6.478,0.133
1248272282,14,4.617,-0.315
1248272282,9,2.44,-0.209
1248272282,90,5.065,-0.06
1248272282,23,4.237,0.109
1248272282,63,6.404,0.138
1248272282,5,5.312,0.263
1248272282,25,1.205,0.34
1248272282,14,4.542,-0.313
1248272282,9,2.454,-0.208
1248272282,90,5.04,-0.058
1248272282,23,4.247,0.111
1248272282,5,5.262,0.264
1248272282,9,2.438,-0.208
1248272282,90,5.028,-0.056
1248272282,25,1.188,0.331
1248272282,14,4.471,-0.316
1248272282,9,2.403,-0.211
1248272282,90,5.039,-0.059
1248272282,23,4.269,0.116
1248272282,5,5.2,0.261
1248272282,25,1.169,0.351
1248272283,14,4.401,-0.317
1248272283,9,2.398,-0.213
1248272283,90,4.978,-0.058
1248272283,45,8.316,0.071
1248272283,63,6.404,0.141
1248272283,5,5.166,0.259
1248272283,25,1.168,0.333
1248272283,9,2.422,-0.197
1248272283,90,4.939,-0.06
1248272283,5,5.119,0.258
1248272283,25,1.14,0.358
1248272283,14,4.401,-0.311
1248272283,9,2.387,-0.21
1248272283,90,4.952,-0.058
1248272283,23,4.237,0.126
1248272283,63,6.332,0.143
1248272283,5,5.119,0.255
1248272283,25,1.129,0.361
1248272283,14,4.401,-0.31
1248272283,9,2.354,-0.221
1248272283,90,4.939,-0.058
1248272283,23,4.205,0.13
1248272283,5,5.214,0.25
1248272284,14,4.334,-0.312
1248272284,9,2.356,-0.213
1248272284,90,4.939,-0.058
1248272284,23,4.205,0.132
1248272284,63,6.368,0.149
1248272284,5,5.119,0.25
1248272284,25,1.109,0.367
1248272284,14,4.285,-0.316
1248272284,9,2.344,-0.218
1248272284,90,4.95,-0.059
1248272284,23,4.205,0.129
1248272284,63,6.356,0.146
1248272284,5,5.119,0.246
1248272284,25,1.106,0.353
1248272284,90,4.866,-0.061
1248272284,25,1.109,0.343
1248272284,25,1.109,0.343
1248272284,14,4.269,-0.315
1248272284,9,2.337,-0.222
1248272284,90,4.866,-0.061
1248272284,23,4.205,0.131
1248272284,5,5.119,0.241
1248272284,25,1.109,0.343
1248272285,14,4.237,-0.324
1248272285,9,2.313,-0.225
1248272285,90,4.868,-0.068
1248272285,23,4.19,0.129
1248272285,63,6.261,0.141
1248272285,5,5.028,0.234
1248272285,14,4.226,-0.317
1248272285,9,2.292,-0.224
1248272285,90,4.854,-0.061
1248272285,23,4.205,0.137
1248272285,14,4.205,-0.314
1248272285,9,2.277,-0.223
1248272285,90,4.875,-0.057
1248272285,45,8.074,0.071
1248272285,23,4.205,0.134
1248272285,63,6.404,0.149
1248272285,5,5.028,0.232
1248272285,14,4.154,-0.311
1248272285,9,2.271,-0.222
1248272285,90,4.854,-0.059
1248272285,23,4.205,0.139
1248272285,63,6.332,0.153
1248272285,5,5.028,0.233
1248272286,23,4.205,0.144
1248272286,90,4.854,-0.051
1248272286,90,4.854,-0.006
1248272286,9,2.289,-0.103
1248272286,90,4.854,0.079
1248272287,9,2.296,-0.027
1248272287,9,2.288,0.039
1248272287,81,3.21,-0.377
1248272287,14,4.181,0.056
1248272287,9,2.241,0.133
1248272287,90,4.583,0.303
1248272287,9,2.216,0.183
1248272288,14,4.027,0.218
1248272288,9,2.131,0.287
1248272288,14,3.971,0.262
1248272288,90,4.144,0.498
1248272288,81,3.337,-0.122
1248272288,9,2.032,0.384
1248272289,9,2.012,0.402
1248272289,14,3.761,0.332
1248272289,9,1.991,0.396
1248272289,32,2.073,-0.348
1248272289,81,3.292,-0.126
1248272289,14,3.712,0.336
1248272289,9,1.965,0.407
1248272289,14,3.712,0.336
1248272289,9,1.955,0.407
1248272290,32,2.028,-0.342
1248272290,9,1.94,0.403
1248272290,9,1.924,0.408
1248272290,32,1.983,-0.336
1248272290,9,1.904,0.408
1248272290,14,3.58,0.351
1248272290,9,1.889,0.412
1248272290,14,3.573,0.356
1248272290,9,1.884,0.413
1248272291,14,3.518,0.359
1248272291,9,1.855,0.419
1248272291,14,3.5,0.365
1248272291,9,1.833,0.427
1248272291,81,3.149,-0.129
1248272291,9,1.822,0.43
1248272291,14,3.403,0.376
1248272291,9,1.807,0.431
1248272292,14,3.403,0.387
1248272292,9,1.793,0.437
1248272292,81,3.093,-0.133
1248272292,9,1.775,0.44
1248272292,9,1.775,0.438
1248272292,81,3.051,-0.135
1248272292,9,1.747,0.445
1248272293,9,1.723,0.45
1248272293,81,3.034,-0.135
1248272293,9,1.709,0.455
1248272293,81,3.036,-0.136
1248272293,14,3.213,0.413
1248272293,9,1.69,0.458
1248272294,14,3.143,0.422
1248272294,9,1.659,0.474
1248272294,14,3.109,0.425
1248272294,9,1.646,0.47
